Maakond,Aasta,Hukkunuid,Hoone liik,Tekkepõhjus,Kuu
Lääne-Viru maakond,2011,1,mitteeluhoone,405 Mootorsõiduki elektri- ja toitesüsteemi rike,7
Jõgeva maakond,2011,1,eluhoone,102 Suitsetamisel,7
Järva maakond,2011,1,eluhoone,102 Suitsetamisel,8
Ida-Viru maakond,2011,1,eluhoone,101 Lahtise tule kasutamisel,8
Harju maakond,2011,1,eluhoone,102 Suitsetamisel,8
Tartu maakond,2011,1,mitteeluhoone,102 Suitsetamisel,9
Saare maakond,2011,1,eluhoone,102 Suitsetamisel,9
Saare maakond,2011,1,eluhoone,101 Lahtise tule kasutamisel,9
Põlva maakond,2011,1,eluhoone,102 Suitsetamisel,9
Jõgeva maakond,2011,1,eluhoone,102 Suitsetamisel,9
Ida-Viru maakond,2011,1,eluhoone,102 Suitsetamisel,9
Harju maakond,2011,1,eluhoone,601 Kindlaks tegemata põhjus,9
Võru maakond,2011,1,eluhoone,403 Rike elektripaigaldises,10
Tartu maakond,2011,1,eluhoone,402 Rike elektriseadmes,10
Rapla maakond,2011,1,eluhoone,402 Rike elektriseadmes,10
Pärnu maakond,2011,1,eluhoone,102 Suitsetamisel,10
Pärnu maakond,2011,1,eluhoone,101 Lahtise tule kasutamisel,10
Lääne maakond,2011,1,eluhoone,403 Rike elektripaigaldises,10
Valga maakond,2011,1,eluhoone,102 Suitsetamisel,11
Ida-Viru maakond,2011,2,eluhoone,102 Suitsetamisel,11
Harju maakond,2011,1,eluhoone,101 Lahtise tule kasutamisel,11
Harju maakond,2011,1,eluhoone,601 Kindlaks tegemata põhjus,11
Rapla maakond,2011,1,eluhoone,403 Rike elektripaigaldises,12
Pärnu maakond,2011,1,eluhoone,101 Lahtise tule kasutamisel,12
Harju maakond,2011,1,mitteeluhoone,101 Lahtise tule kasutamisel,12
Harju maakond,2011,3,mitteeluhoone,601 Kindlaks tegemata põhjus,12
Harju maakond,2011,1,eluhoone,101 Lahtise tule kasutamisel,12
Tartu maakond,2012,1,eluhoone,601 Kindlaks tegemata põhjus,1
Ida-Viru maakond,2012,1,eluhoone,101 Lahtise tule kasutamisel,1
Ida-Viru maakond,2012,1,eluhoone,102 Suitsetamisel,1
Harju maakond,2012,1,eluhoone,601 Kindlaks tegemata põhjus,1
Tartu maakond,2012,1,eluhoone,403 Rike elektripaigaldises,2
Tartu maakond,2012,2,eluhoone,102 Suitsetamisel,2
Saare maakond,2012,1,eluhoone,403 Rike elektripaigaldises,2
Rapla maakond,2012,1,-Puudub-,101 Lahtise tule kasutamisel,2
Pärnu maakond,2012,1,eluhoone,403 Rike elektripaigaldises,2
Ida-Viru maakond,2012,1,eluhoone,601 Kindlaks tegemata põhjus,2
Ida-Viru maakond,2012,2,eluhoone,102 Suitsetamisel,2
Ida-Viru maakond,2012,1,eluhoone,402 Rike elektriseadmes,2
Harju maakond,2012,1,eluhoone,101 Lahtise tule kasutamisel,2
Tartu maakond,2012,1,eluhoone,102 Suitsetamisel,3
Pärnu maakond,2012,1,eluhoone,101 Lahtise tule kasutamisel,3
Ida-Viru maakond,2012,2,eluhoone,101 Lahtise tule kasutamisel,3
Ida-Viru maakond,2012,1,eluhoone,105 Kütteseadmete kasutamisel,3
Hiiu maakond,2012,1,eluhoone,102 Suitsetamisel,3
Harju maakond,2012,1,eluhoone,102 Suitsetamisel,3
Pärnu maakond,2012,1,eluhoone,102 Suitsetamisel,4
Põlva maakond,2012,1,eluhoone,601 Kindlaks tegemata põhjus,4
Lääne-Viru maakond,2012,2,eluhoone,102 Suitsetamisel,4
Lääne-Viru maakond,2012,1,eluhoone,601 Kindlaks tegemata põhjus,4
Lääne maakond,2012,1,eluhoone,102 Suitsetamisel,4
Jõgeva maakond,2012,1,eluhoone,102 Suitsetamisel,4
Ida-Viru maakond,2012,1,eluhoone,601 Kindlaks tegemata põhjus,4
Harju maakond,2012,1,eluhoone,601 Kindlaks tegemata põhjus,4
Harju maakond,2012,1,eluhoone,101 Lahtise tule kasutamisel,4
Valga maakond,2012,1,eluhoone,102 Suitsetamisel,5
Tartu maakond,2012,2,eluhoone,101 Lahtise tule kasutamisel,5
Harju maakond,2012,1,eluhoone,101 Lahtise tule kasutamisel,6
Tartu maakond,2012,1,mitteeluhoone,101 Lahtise tule kasutamisel,9
Pärnu maakond,2012,1,eluhoone,106 Toiduvalmistamisel (kõrbemine),9
Lääne-Viru maakond,2012,1,eluhoone,102 Suitsetamisel,9
Ida-Viru maakond,2012,1,eluhoone,101 Lahtise tule kasutamisel,9
Harju maakond,2012,1,eluhoone,101 Lahtise tule kasutamisel,9
Võru maakond,2012,3,eluhoone,102 Suitsetamisel,10
Harju maakond,2012,2,eluhoone,601 Kindlaks tegemata põhjus,10
Viljandi maakond,2012,1,mitteeluhoone,102 Suitsetamisel,11
Harju maakond,2012,1,eluhoone,101 Lahtise tule kasutamisel,11
Harju maakond,2012,1,eluhoone,403 Rike elektripaigaldises,11
Tartu maakond,2012,1,eluhoone,102 Suitsetamisel,12
Pärnu maakond,2012,1,eluhoone,101 Lahtise tule kasutamisel,12
Lääne-Viru maakond,2012,1,eluhoone,601 Kindlaks tegemata põhjus,12
Ida-Viru maakond,2012,1,eluhoone,101 Lahtise tule kasutamisel,12
Harju maakond,2012,1,eluhoone,104 Elektriseadmete kasutamisel,12
Tartu maakond,2013,1,eluhoone,102 Suitsetamisel,1
Rapla maakond,2013,1,eluhoone,101 Lahtise tule kasutamisel,1
Rapla maakond,2013,1,eluhoone,102 Suitsetamisel,1
Jõgeva maakond,2013,1,eluhoone,102 Suitsetamisel,1
Harju maakond,2013,1,eluhoone,101 Lahtise tule kasutamisel,1
Valga maakond,2013,1,eluhoone,402 Rike elektriseadmes,2
Põlva maakond,2013,1,eluhoone,102 Suitsetamisel,2
Järva maakond,2013,1,eluhoone,102 Suitsetamisel,2
Jõgeva maakond,2013,1,eluhoone,102 Suitsetamisel,2
Harju maakond,2013,1,eluhoone,102 Suitsetamisel,2
Saare maakond,2013,1,eluhoone,101 Lahtise tule kasutamisel,3
Pärnu maakond,2013,1,eluhoone,102 Suitsetamisel,3
Harju maakond,2013,1,eluhoone,102 Suitsetamisel,3
Viljandi maakond,2013,1,mitteeluhoone,101 Lahtise tule kasutamisel,4
